Wall time,Step,Value
1621069773.330926,0,0.13124999403953552
1621069773.3891325,1,0.44999998807907104
1621069773.4748795,2,0.0
1621069773.5617983,3,0.0
1621069773.5647826,4,0.981249988079071
1621069773.630868,5,0.3499999940395355
1621069773.6799607,6,0.48750001192092896
1621069773.7660763,7,0.10625000298023224
1621069773.7690923,8,0.9750000238418579
1621069773.856563,9,0.0
1621069773.9194145,10,0.375
1621069773.9214163,11,0.987500011920929
1621069774.0076814,12,0.0
1621069774.0096858,13,0.9937499761581421
1621069774.0166621,14,0.9437500238418579
1621069774.024231,15,0.9375
1621069774.0362244,16,0.8812500238418579
1621069774.120181,17,0.0
1621069774.2065911,18,0.0
1621069774.2215776,19,0.856249988079071
1621069774.2255607,20,0.9624999761581421
1621069774.3105118,21,0.0
1621069774.3530173,22,0.59375
1621069774.4361765,23,0.0
1621069774.4861486,24,0.4937500059604645
1621069774.5031388,25,0.84375
1621069774.5411212,26,0.612500011920929
1621069774.5860908,27,0.5375000238418579
1621069774.6719823,28,0.0
1621069774.7584977,29,0.0
1621069774.8244452,30,0.3187499940395355
1621069774.9098604,31,0.0
1621069774.9128728,32,0.987500011920929
1621069774.921864,33,0.90625
1621069774.975822,34,0.4437499940395355
1621069774.9868317,35,0.8999999761581421
1621069775.065856,36,0.16249999403953552
1621069775.1508124,37,0.0
1621069775.2013016,38,0.4749999940395355
1621069775.2072988,39,0.949999988079071
1621069775.2918112,40,0.0
1621069775.306803,41,0.862500011920929
1621069775.3911548,42,0.0
1621069775.4411333,43,0.5
1621069775.5277214,44,0.0
1621069775.5823083,45,0.4312500059604645
1621069775.5883079,46,0.956250011920929
1621069775.593315,47,0.9437500238418579
1621069775.687261,48,0.0
1621069775.7657697,49,0.2562499940395355
1621069775.859088,50,0.0
1621069775.8870823,51,0.737500011920929
1621069775.91607,52,0.7749999761581421
1621069776.0212166,53,0.0
1621069776.0806851,54,0.48124998807907104
1621069776.1386514,55,0.625
1621069776.1416492,56,0.9750000238418579
1621069776.189628,57,0.768750011920929
1621069776.2166054,58,0.925000011920929
1621069776.2216022,59,0.9937499761581421
1621069776.274573,60,0.637499988079071
1621069776.3465326,61,0.3187499940395355
1621069776.366521,62,0.8062499761581421
1621069779.6326387,63,0.0
1621069788.4565532,64,0.0
